VideoWidth:720
VideoHeight:576
DisplayWidth:0
DisplayHeight:0
frame;time;visible;x;y
0;0;1;0.634039;0.539700
1;0;1;0.650586;0.530216
2;0;1;0.669561;0.527719
3;0;1;0.683543;0.527719
4;0;1;0.703517;0.531465
5;0;1;0.730482;0.546451
6;0;1;0.752453;0.560188
7;0;1;0.772427;0.553944
8;0;1;0.784411;0.538958
9;0;1;0.802388;0.522724
10;0;1;0.818367;0.511484
11;0;1;0.829352;0.497748
12;0;1;0.832349;0.497748
13;0;1;0.869300;0.510236
14;0;1;0.880286;0.498996
15;0;1;0.883286;0.498996
16;0;1;0.899261;0.474020
17;0;1;0.937212;0.455288
18;0;1;0.958184;0.442800
19;0;1;0.962179;0.420322
20;0;1;0.953191;0.396594
21;0;1;0.952191;0.394594
22;0;1;0.929222;0.395346
23;0;1;0.919235;0.404087
24;0;1;0.895266;0.444049
25;0;1;0.871298;0.474020
26;0;1;0.846330;0.481513
27;0;1;0.825358;0.480264
28;0;1;0.809379;0.480264
29;0;1;0.791402;0.480264
30;0;1;0.775423;0.480264
31;0;1;0.748458;0.491504
32;0;1;0.731480;0.491504
33;0;1;0.713504;0.484011
34;0;1;0.696526;0.474020
35;0;1;0.677551;0.460283
36;0;1;0.663569;0.455288
37;0;1;0.642596;0.446547
38;0;1;0.642296;0.446147
39;0;1;0.616630;0.425317
40;0;1;0.597655;0.419073
41;0;1;0.567694;0.420322
42;0;1;0.549717;0.426566
43;0;1;0.559704;0.409082
44;0;1;0.559104;0.409282
45;0;1;0.590664;0.386604
46;0;1;0.608640;0.369121
47;0;1;0.625618;0.364125
48;0;1;0.648588;0.362877
49;0;1;0.668562;0.346642
50;0;1;0.698523;0.315422
51;0;1;0.703517;0.276709
52;0;1;0.735475;0.242991
53;0;1;0.760442;0.220513
54;0;1;0.778419;0.216766
55;0;1;0.797394;0.229254
56;0;1;0.835345;0.231752
57;0;1;0.872296;0.205527
58;0;1;0.909248;0.169312
59;0;1;0.932218;0.135594
60;0;1;0.932018;0.135494
61;0;1;0.933217;0.111867
62;0;1;0.887277;0.110618
63;0;1;0.855319;0.123106
64;0;1;0.802388;0.145584
65;0;1;0.770429;0.163068
66;0;1;0.744463;0.185546
67;0;1;0.712505;0.213020
68;0;1;0.674554;0.250484
69;0;1;0.654581;0.275460
70;0;1;0.637603;0.295441
71;0;1;0.615631;0.317920
72;0;1;0.597655;0.342896
73;0;1;0.575683;0.360379
74;0;1;0.559704;0.367872
75;0;1;0.526747;0.372867
76;0;1;0.502779;0.360379
77;0;1;0.497785;0.360379
78;0;1;0.484802;0.360379
79;0;1;0.466826;0.371618
80;0;1;0.486799;0.375365
81;0;1;0.517759;0.357881
82;0;1;0.517759;0.347891
83;0;1;0.517709;0.347491
84;0;1;0.531741;0.329159
85;0;1;0.565697;0.327910
86;0;1;0.575683;0.335403
87;0;1;0.567694;0.351637
88;0;1;0.520755;0.344145
89;0;1;0.499783;0.360379
90;0;1;0.474815;0.380360
91;0;1;0.460833;0.381609
92;0;1;0.462831;0.389101
93;0;1;0.457837;0.401590
94;0;1;0.502779;0.401590
95;0;1;0.553712;0.360379
96;0;1;0.553112;0.360179
97;0;1;0.598654;0.367872
98;0;1;0.642596;0.354135
99;0;1;0.688536;0.310427
100;0;1;0.688336;0.310227
101;0;1;0.714502;0.304183
102;0;1;0.724489;0.302934
103;0;1;0.728484;0.301685
104;0;1;0.747459;0.302934
105;0;1;0.762440;0.304183
106;0;1;0.782414;0.301685
107;0;1;0.821363;0.292943
108;0;1;0.835345;0.281704
109;0;1;0.855319;0.272963
110;0;1;0.882283;0.264221
111;0;1;0.923230;0.265470
112;0;1;0.943204;0.260475
113;0;1;0.950195;0.246738
114;0;1;0.950195;0.246738
115;0;1;0.913243;0.259226
116;0;1;0.863308;0.289197
117;0;1;0.824359;0.325412
118;0;1;0.789405;0.346642
119;0;1;0.655579;0.449044
120;0;1;0.655579;0.449044
